name,category,train_acc,val_acc,test_acc,f1,precision,recall,overfit_gap,speed_ms,train_time_s,rank
"SVM (RBF, C=10)",kernel-method,0.9367062034218537,0.9272457312546399,0.9331384727804165,0.9332357406514868,0.9334351915470968,0.9331384727804165,0.009460472167213796,610.6133199995384,0.6804185002110898,1
Random Forest (100 trees),bagging,0.9832056261152514,0.9190794357832219,0.9236390208257216,0.9236994439625921,0.9238685395951558,0.9236390208257216,0.06412619033202949,45.16332299914211,1.4440037000458688,2
KNN (k=5),distance-based,0.9385955704838879,0.9161098737936154,0.917793204238217,0.9178642424309538,0.9182014215814804,0.917793204238217,0.02248569669027245,517.0769419986755,0.0010985000990331173,3
AdaBoost (50 rounds),boosting-extra,0.9029075259787971,0.8856718634001485,0.8984289367921081,0.8982099610126064,0.8985790341220061,0.8984289367921081,0.017235662578648614,29.782428999897093,5.6057175998575985,4
